0.6333, 0.6560, 0.3089, 0.7231, 0.1174  0.0 1.0 0.0 0.0 1.0 1.0 
0.6444, 0.6591, 0.3866, 0.7095, 0.1012  0.0 1.0 0.0 0.0 1.0 1.0 
0.6111, 0.6005, 0.3069, 0.6720, 0.1401  0.0 1.0 0.0 0.0 1.0 1.0 
0.6000, 0.6445, 0.2432, 0.8297, 0.0665  0.0 1.0 0.0 0.0 1.0 1.0 
0.6556, 0.6716, 0.2871, 0.7714, 0.0694  0.0 1.0 0.0 0.0 1.0 1.0 
0.6333, 0.6523, 0.2771, 0.7498, 0.0823  0.0 1.0 0.0 0.0 1.0 1.0 
0.2778, 0.3206, 0.3025, 0.8400, 0.0910  0.0 1.0 0.0 1.0 0.0 0.0 
0.3111, 0.3453, 0.2546, 0.8293, 0.0897  0.0 1.0 0.0 1.0 0.0 0.0 
0.3444, 0.3614, 0.2263, 0.7901, 0.1248  0.0 1.0 0.0 1.0 0.0 0.0 
0.5222, 0.5139, 0.4009, 0.6862, 0.0788  0.0 1.0 0.0 1.0 0.0 0.0 
0.6667, 0.6416, 0.3362, 0.6663, 0.0924  0.0 1.0 0.0 1.0 0.0 0.0 
0.5111, 0.4923, 0.4414, 0.7253, 0.0457  0.0 1.0 0.0 1.0 0.0 0.0 
0.7222, 0.6873, 0.2983, 0.6458, 0.1104  0.0 1.0 0.0 1.0 0.0 0.0 
0.6222, 0.6065, 0.3244, 0.7212, 0.0955  0.0 1.0 0.0 1.0 0.0 0.0 
0.7000, 0.6898, 0.3009, 0.6981, 0.0791  0.0 1.0 0.0 1.0 0.0 0.0 
0.2111, 0.2614, 0.1502, 0.8815, 0.0870  0.0 1.0 0.0 1.0 0.0 1.0 
0.2444, 0.2730, 0.1363, 0.8436, 0.0758  0.0 1.0 0.0 1.0 0.0 1.0 
0.2333, 0.2730, 0.1319, 0.8512, 0.0735  0.0 1.0 0.0 1.0 0.0 1.0 
0.4333, 0.4451, 0.1190, 0.7515, 0.1055  0.0 1.0 0.0 1.0 0.0 1.0 
0.4556, 0.4660, 0.1209, 0.7772, 0.0703  0.0 1.0 0.0 1.0 0.0 1.0 
0.4556, 0.4731, 0.1030, 0.8056, 0.0694  0.0 1.0 0.0 1.0 0.0 1.0 
0.4667, 0.4693, 0.1494, 0.6475, 0.1566  0.0 1.0 0.0 1.0 0.0 1.0 
0.4222, 0.4262, 0.1366, 0.7224, 0.1065  0.0 1.0 0.0 1.0 0.0 1.0 
0.4111, 0.4409, 0.1099, 0.7964, 0.1073  0.0 1.0 0.0 1.0 0.0 1.0 
0.1222, 0.1195, 0.1176, 0.8451, 0.1028  0.0 1.0 0.0 1.0 1.0 0.0 
0.1111, 0.1262, 0.1129, 0.8944, 0.0962  0.0 1.0 0.0 1.0 1.0 0.0 
0.0889, 0.0958, 0.1455, 0.8685, 0.0831  0.0 1.0 0.0 1.0 1.0 0.0 
0.1667, 0.1651, 0.0677, 0.7804, 0.1598  0.0 1.0 0.0 1.0 1.0 0.0 
